operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAct,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId}/sessions/{sessionId}/acts,PUT,Creates a new AI task (act) within a session th...,,acts,create_act,insert,,,,,
CreateSession,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId}/sessions,PUT,Creates a new session context within a workflow...,,sessions,create_session,insert,,,,,
CreateWorkflowDefinition,/workflow-definitions,PUT,Creates a new workflow definition template that...,,workflow_definitions,create_workflow_definition,insert,,,,,
CreateWorkflowRun,/workflow-definitions/{workflowDefinitionName}/workflow-runs,PUT,Creates a new execution instance of a workflow ...,,workflow_runs,create_workflow_run,insert,,,,,
DeleteWorkflowDefinition,/workflow-definitions/{workflowDefinitionName},DELETE,Deletes a workflow definition and all associate...,,workflow_definitions,delete_workflow_definition,delete,,,,,
DeleteWorkflowRun,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId},DELETE,"Terminates and cleans up a workflow run, stoppi...",,workflow_runs,delete_workflow_run,delete,,,,,
GetWorkflowDefinition,/workflow-definitions/{workflowDefinitionName},GET,Retrieves the details and configuration of a sp...,,workflow_definitions,get_workflow_definition,select,,,,,
GetWorkflowRun,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId},GET,"Retrieves the current state, configuration, and...",,workflow_runs,get_workflow_run,select,,,,,
InvokeActStep,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId}/sessions/{sessionId}/acts/{actId}/invoke-step/,PUT,"Executes the next step of an act, processing to...",,act_steps,invoke_act_step,update,,,,,
ListActs,/workflow-definitions/{workflowDefinitionName}/acts,POST,Lists all acts within a specific session with t...,,acts,list_acts,select,,,,,
ListModels,/models,POST,Lists all available AI models that can be used ...,,models,list_models,select,,,,,
ListSessions,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId},POST,Lists all sessions within a specific workflow run.,,sessions,list_sessions,select,,,,,
ListWorkflowDefinitions,/workflow-definitions,POST,Lists all workflow definitions in your account ...,,workflow_definitions,list_workflow_definitions,select,,,,,
ListWorkflowRuns,/workflow-definitions/{workflowDefinitionName}/workflow-runs,POST,Lists all workflow runs for a specific workflow...,,workflow_runs,list_workflow_runs,select,,,,,
UpdateAct,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId}/sessions/{sessionId}/acts/{actId},PUT,"Updates an existing act's configuration, status...",,acts,update_act,update,,,,,
UpdateWorkflowRun,/workflow-definitions/{workflowDefinitionName}/workflow-runs/{workflowRunId},PUT,Updates the configuration or state of an active...,,workflow_runs,update_workflow_run,update,,,,,
