operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateIdentityPool,/#X-Amz-Target=AWSCognitoIdentityService.CreateIdentityPool,POST,Creates a new identity pool. The identity pool ...,identity_pools,create_identity_pool,insert,,,,,
DeleteIdentities,/#X-Amz-Target=AWSCognitoIdentityService.DeleteIdentities,POST,Deletes identities from an identity pool. You c...,identities,delete_identities,delete,,,,,
DeleteIdentityPool,/#X-Amz-Target=AWSCognitoIdentityService.DeleteIdentityPool,POST,Deletes an identity pool. Once a pool is delete...,identity_pools,delete_identity_pool,delete,,,,,
DescribeIdentity,/#X-Amz-Target=AWSCognitoIdentityService.DescribeIdentity,POST,"Returns metadata related to the given identity,...",identities,describe_identity,select,,,,,
DescribeIdentityPool,/#X-Amz-Target=AWSCognitoIdentityService.DescribeIdentityPool,POST,"Gets details about a particular identity pool, ...",identity_pools,describe_identity_pool,select,,,,,
GetCredentialsForIdentity,/#X-Amz-Target=AWSCognitoIdentityService.GetCredentialsForIdentity,POST,Returns credentials for the provided identity I...,credentials_for_identities,get_credentials_for_identity,select,,,,,
GetId,/#X-Amz-Target=AWSCognitoIdentityService.GetId,POST,Generates (or retrieves) IdentityID. Supplying ...,ids,get_id,select,,,,,
GetIdentityPoolRoles,/#X-Amz-Target=AWSCognitoIdentityService.GetIdentityPoolRoles,POST,Gets the roles for an identity pool. You must u...,identity_pool_roles,get_identity_pool_roles,select,,,,,
GetOpenIdToken,/#X-Amz-Target=AWSCognitoIdentityService.GetOpenIdToken,POST,"Gets an OpenID token, using a known Cognito ID....",open_id_tokens,get_open_id_token,select,,,,,
GetOpenIdTokenForDeveloperIdentity,/#X-Amz-Target=AWSCognitoIdentityService.GetOpenIdTokenForDeveloperIdentity,POST,Registers (or retrieves) a Cognito `IdentityId`...,open_id_token_for_developer_identities,get_open_id_token_for_developer_identity,select,,,,,
GetPrincipalTagAttributeMap,/#X-Amz-Target=AWSCognitoIdentityService.GetPrincipalTagAttributeMap,POST,Use `GetPrincipalTagAttributeMap` to list all m...,principal_tag_attribute_maps,get_principal_tag_attribute_map,select,,,,,
ListIdentities,/#X-Amz-Target=AWSCognitoIdentityService.ListIdentities,POST,Lists the identities in an identity pool. You m...,identities,list_identities,select,,,,,
ListIdentityPools,/#X-Amz-Target=AWSCognitoIdentityService.ListIdentityPools,POST,Lists all of the Cognito identity pools registe...,identity_pools,list_identity_pools,select,,,,,
ListTagsForResource,/#X-Amz-Target=AWSCognitoIdentityService.ListTagsForResource,POST,Lists the tags that are assigned to an Amazon C...,tags_for_resources,list_tags_for_resource,select,,,,,
LookupDeveloperIdentity,/#X-Amz-Target=AWSCognitoIdentityService.LookupDeveloperIdentity,POST,Retrieves the `IdentityID` associated with a `D...,developer_identities,lookup_developer_identity,select,,,,,
MergeDeveloperIdentities,/#X-Amz-Target=AWSCognitoIdentityService.MergeDeveloperIdentities,POST,Merges two users having different `IdentityId`s...,developer_identities,merge_developer_identities,exec,,,,,
SetIdentityPoolRoles,/#X-Amz-Target=AWSCognitoIdentityService.SetIdentityPoolRoles,POST,Sets the roles for an identity pool. These role...,identity_pool_roles,set_identity_pool_roles,update,,,,,
SetPrincipalTagAttributeMap,/#X-Amz-Target=AWSCognitoIdentityService.SetPrincipalTagAttributeMap,POST,You can use this operation to use default (user...,principal_tag_attribute_maps,set_principal_tag_attribute_map,update,,,,,
TagResource,/#X-Amz-Target=AWSCognitoIdentityService.TagResource,POST,Assigns a set of tags to the specified Amazon C...,resources,tag_resource,exec,,,,,
UnlinkDeveloperIdentity,/#X-Amz-Target=AWSCognitoIdentityService.UnlinkDeveloperIdentity,POST,Unlinks a `DeveloperUserIdentifier` from an exi...,developer_identities,unlink_developer_identity,exec,,,,,
UnlinkIdentity,/#X-Amz-Target=AWSCognitoIdentityService.UnlinkIdentity,POST,Unlinks a federated identity from an existing a...,identities,unlink_identity,exec,,,,,
UntagResource,/#X-Amz-Target=AWSCognitoIdentityService.UntagResource,POST,Removes the specified tags from the specified A...,resources,untag_resource,exec,,,,,
UpdateIdentityPool,/#X-Amz-Target=AWSCognitoIdentityService.UpdateIdentityPool,POST,Updates the configuration of an identity pool. ...,identity_pools,update_identity_pool,update,,,,,
