operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateMediaCapturePipeline,/sdk-media-capture-pipelines,POST,Creates a media pipeline.,media_capture_pipelines,create_media_capture_pipeline,insert,,,,,
CreateMediaConcatenationPipeline,/sdk-media-concatenation-pipelines,POST,Creates a media concatenation pipeline.,media_concatenation_pipelines,create_media_concatenation_pipeline,insert,,,,,
CreateMediaInsightsPipeline,/media-insights-pipelines,POST,Creates a media insights pipeline.,media_insights_pipelines,create_media_insights_pipeline,insert,,,,,
CreateMediaInsightsPipelineConfiguration,/media-insights-pipeline-configurations,POST,A structure that contains the static configurat...,media_insights_pipeline_configurations,create_media_insights_pipeline_configuration,insert,,,,,
CreateMediaLiveConnectorPipeline,/sdk-media-live-connector-pipelines,POST,Creates a media live connector pipeline in an A...,media_live_connector_pipelines,create_media_live_connector_pipeline,insert,,,,,
CreateMediaPipelineKinesisVideoStreamPool,/media-pipeline-kinesis-video-stream-pools,POST,Creates an Amazon Kinesis Video Stream pool for...,media_pipeline_kinesis_video_stream_pools,create_media_pipeline_kinesis_video_stream_pool,insert,,,,,
CreateMediaStreamPipeline,/sdk-media-stream-pipelines,POST,Creates a streaming media pipeline.,media_stream_pipelines,create_media_stream_pipeline,insert,,,,,
DeleteMediaCapturePipeline,/sdk-media-capture-pipelines/{MediaPipelineId},DELETE,Deletes the media pipeline.,media_capture_pipelines,delete_media_capture_pipeline,delete,,,,,
DeleteMediaInsightsPipelineConfiguration,/media-insights-pipeline-configurations/{Identifier},DELETE,Deletes the specified configuration settings.,media_insights_pipeline_configurations,delete_media_insights_pipeline_configuration,delete,,,,,
DeleteMediaPipeline,/sdk-media-pipelines/{MediaPipelineId},DELETE,Deletes the media pipeline.,media_pipelines,delete_media_pipeline,delete,,,,,
DeleteMediaPipelineKinesisVideoStreamPool,/media-pipeline-kinesis-video-stream-pools/{Identifier},DELETE,Deletes an Amazon Kinesis Video Stream pool.,media_pipeline_kinesis_video_stream_pools,delete_media_pipeline_kinesis_video_stream_pool,delete,,,,,
GetMediaCapturePipeline,/sdk-media-capture-pipelines/{MediaPipelineId},GET,Gets an existing media pipeline.,media_capture_pipeline,get_media_capture_pipeline,select,,,,,
GetMediaInsightsPipelineConfiguration,/media-insights-pipeline-configurations/{Identifier},GET,Gets the configuration settings for a media ins...,media_insights_pipeline_configuration,get_media_insights_pipeline_configuration,select,,,,,
GetMediaPipeline,/sdk-media-pipelines/{MediaPipelineId},GET,Gets an existing media pipeline.,media_pipeline,get_media_pipeline,select,,,,,
GetMediaPipelineKinesisVideoStreamPool,/media-pipeline-kinesis-video-stream-pools/{Identifier},GET,Gets an Kinesis video stream pool.,media_pipeline_kinesis_video_stream_pool,get_media_pipeline_kinesis_video_stream_pool,select,,,,,
GetSpeakerSearchTask,/media-insights-pipelines/{Identifier}/speaker-search-tasks/{SpeakerSearchTaskId},GET,Retrieves the details of the specified speaker ...,speaker_search_tasks,get_speaker_search_task,select,,,,,
GetVoiceToneAnalysisTask,/media-insights-pipelines/{Identifier}/voice-tone-analysis-tasks/{VoiceToneAnalysisTaskId},GET,Retrieves the details of a voice tone analysis ...,voice_tone_analysis_tasks,get_voice_tone_analysis_task,select,,,,,
ListMediaCapturePipelines,/sdk-media-capture-pipelines,GET,Returns a list of media pipelines.,media_capture_pipelines,list_media_capture_pipelines,select,,,,,
ListMediaInsightsPipelineConfigurations,/media-insights-pipeline-configurations,GET,Lists the available media insights pipeline con...,media_insights_pipeline_configurations,list_media_insights_pipeline_configurations,select,,,,,
ListMediaPipelineKinesisVideoStreamPools,/media-pipeline-kinesis-video-stream-pools,GET,Lists the video stream pools in the media pipel...,media_pipeline_kinesis_video_stream_pools,list_media_pipeline_kinesis_video_stream_pools,select,,,,,
ListMediaPipelines,/sdk-media-pipelines,GET,Returns a list of media pipelines.,media_pipelines,list_media_pipelines,select,,,,,
ListTagsForResource,/tags,GET,Lists the tags available for a media pipeline.,tags,list_tags_for_resource,select,,,,,
StartSpeakerSearchTask,/media-insights-pipelines/{Identifier}/speaker-search-tasks?operation=start,POST,Starts a speaker search task. Before starting a...,speaker_search_tasks,start_speaker_search_task,exec,,,,,
StartVoiceToneAnalysisTask,/media-insights-pipelines/{Identifier}/voice-tone-analysis-tasks?operation=start,POST,Starts a voice tone analysis task. For more inf...,voice_tone_analysis_tasks,start_voice_tone_analysis_task,exec,,,,,
StopSpeakerSearchTask,/media-insights-pipelines/{Identifier}/speaker-search-tasks/{SpeakerSearchTaskId}?operation=stop,POST,Stops a speaker search task.,speaker_search_tasks,stop_speaker_search_task,exec,,,,,
StopVoiceToneAnalysisTask,/media-insights-pipelines/{Identifier}/voice-tone-analysis-tasks/{VoiceToneAnalysisTaskId}?operation=stop,POST,Stops a voice tone analysis task.,voice_tone_analysis_tasks,stop_voice_tone_analysis_task,exec,,,,,
TagResource,/tags?operation=tag-resource,POST,The ARN of the media pipeline that you want to ...,tags,tag_resource,exec,,,,,
UntagResource,/tags?operation=untag-resource,POST,Removes any tags from a media pipeline.,tags,untag_resource,exec,,,,,
UpdateMediaInsightsPipelineConfiguration,/media-insights-pipeline-configurations/{Identifier},PUT,Updates the media insights pipeline's configura...,media_insights_pipeline_configurations,update_media_insights_pipeline_configuration,update,,,,,
UpdateMediaInsightsPipelineStatus,/media-insights-pipeline-status/{Identifier},PUT,Updates the status of a media insights pipeline.,media_insights_pipelines,update_media_insights_pipeline_status,update,,,,,
UpdateMediaPipelineKinesisVideoStreamPool,/media-pipeline-kinesis-video-stream-pools/{Identifier},PUT,Updates an Amazon Kinesis Video Stream pool in ...,media_pipeline_kinesis_video_stream_pools,update_media_pipeline_kinesis_video_stream_pool,update,,,,,
