operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAssistant,/assistants,POST,Creates an Amazon Connect Wisdom assistant.,,assistants,create_assistant,insert,,,,,
CreateAssistantAssociation,/assistants/{assistantId}/associations,POST,Creates an association between an Amazon Connec...,,assistant_associations,create_assistant_association,insert,,,,,
CreateContent,/knowledgeBases/{knowledgeBaseId}/contents,POST,Creates Wisdom content. Before to calling this ...,,contents,create_content,insert,,,,,
CreateKnowledgeBase,/knowledgeBases,POST,"Creates a knowledge base. When using this API, ...",,knowledge_bases,create_knowledge_base,insert,,,,,
CreateQuickResponse,/knowledgeBases/{knowledgeBaseId}/quickResponses,POST,Creates a Wisdom quick response.,,quick_responses,create_quick_response,insert,,,,,
CreateSession,/assistants/{assistantId}/sessions,POST,Creates a session. A session is a contextual co...,,sessions,create_session,insert,,,,,
DeleteAssistant,/assistants/{assistantId},DELETE,Deletes an assistant.,,assistants,delete_assistant,delete,,,,,
DeleteAssistantAssociation,/assistants/{assistantId}/associations/{assistantAssociationId},DELETE,Deletes an assistant association.,,assistant_associations,delete_assistant_association,delete,,,,,
DeleteContent,/knowledgeBases/{knowledgeBaseId}/contents/{contentId},DELETE,Deletes the content.,,contents,delete_content,delete,,,,,
DeleteImportJob,/knowledgeBases/{knowledgeBaseId}/importJobs/{importJobId},DELETE,Deletes the quick response import job.,,import_jobs,delete_import_job,delete,,,,,
DeleteKnowledgeBase,/knowledgeBases/{knowledgeBaseId},DELETE,Deletes the knowledge base. When you use this A...,,knowledge_bases,delete_knowledge_base,delete,,,,,
DeleteQuickResponse,/knowledgeBases/{knowledgeBaseId}/quickResponses/{quickResponseId},DELETE,Deletes a quick response.,,quick_responses,delete_quick_response,delete,,,,,
GetAssistant,/assistants/{assistantId},GET,Retrieves information about an assistant.,,assistants,get_assistant,select,,,,,
GetAssistantAssociation,/assistants/{assistantId}/associations/{assistantAssociationId},GET,Retrieves information about an assistant associ...,,assistant_associations,get_assistant_association,select,,,,,
