operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAwsLogSource,/v1/datalake/logsources/aws,POST,Adds a natively supported Amazon Web Services s...,aws_log_source,aws_log_sources,create_aws_log_source,insert,,,,,
CreateCustomLogSource,/v1/datalake/logsources/custom,POST,Adds a third-party custom source in Amazon Secu...,custom_log_source,custom_log_sources,create_custom_log_source,insert,,,,,
CreateDataLake,/v1/datalake,POST,Initializes an Amazon Security Lake instance wi...,,data_lakes,create_data_lake,insert,,,,,
CreateDataLakeExceptionSubscription,/v1/datalake/exceptions/subscription,POST,Creates the specified notification subscription...,data_lake_exception_subscription,data_lake_exception_subscriptions,create_data_lake_exception_subscription,insert,,,,,
CreateDataLakeOrganizationConfiguration,/v1/datalake/organization/configuration,POST,Automatically enables Amazon Security Lake for ...,data_lake_organization_configuration,data_lake_organization_configurations,create_data_lake_organization_configuration,insert,,,,,
CreateSubscriber,/v1/subscribers,POST,Creates a subscriber for accounts that are alre...,subscriber,subscribers,create_subscriber,insert,,,,,
CreateSubscriberNotification,/v1/subscribers/{subscriberId}/notification,POST,Notifies the subscriber when new data is writte...,,subscriber_notifications,create_subscriber_notification,insert,,,,,
DeleteAwsLogSource,/v1/datalake/logsources/aws/delete,POST,Removes a natively supported Amazon Web Service...,aws_log_source,aws_log_sources,delete_aws_log_source,delete,,,,,
DeleteCustomLogSource,/v1/datalake/logsources/custom/{sourceName},DELETE,Removes a custom log source from Amazon Securit...,,custom_log_sources,delete_custom_log_source,delete,,,,,
DeleteDataLake,/v1/datalake/delete,POST,When you disable Amazon Security Lake from your...,,data_lakes,delete_data_lake,delete,,,,,
DeleteDataLakeExceptionSubscription,/v1/datalake/exceptions/subscription,DELETE,Deletes the specified notification subscription...,data_lake_exception_subscription,data_lake_exception_subscriptions,delete_data_lake_exception_subscription,delete,,,,,
DeleteDataLakeOrganizationConfiguration,/v1/datalake/organization/configuration/delete,POST,Turns off automatic enablement of Amazon Securi...,data_lake_organization_configuration,data_lake_organization_configurations,delete_data_lake_organization_configuration,delete,,,,,
DeleteSubscriber,/v1/subscribers/{subscriberId},DELETE,Deletes the subscription permission and all not...,,subscribers,delete_subscriber,delete,,,,,
DeleteSubscriberNotification,/v1/subscribers/{subscriberId}/notification,DELETE,Deletes the specified subscription notification...,subscriber_notification,subscriber_notifications,delete_subscriber_notification,delete,,,,,
DeregisterDataLakeDelegatedAdministrator,/v1/datalake/delegate,DELETE,Deletes the Amazon Security Lake delegated admi...,data_lake_delegated_administrator,data_lake_delegated_administrators,deregister_data_lake_delegated_administrator,delete,,,,,
GetDataLakeExceptionSubscription,/v1/datalake/exceptions/subscription,GET,Retrieves the protocol and endpoint that were p...,data_lake_exception_subscription,data_lake_exception_subscriptions,get_data_lake_exception_subscription,select,,,,,
GetDataLakeOrganizationConfiguration,/v1/datalake/organization/configuration,GET,Retrieves the configuration that will be automa...,data_lake_organization_configuration,data_lake_organization_configurations,get_data_lake_organization_configuration,select,,,,,
GetDataLakeSources,/v1/datalake/sources,POST,"Retrieves a snapshot of the current Region, inc...",,data_lake_sources,get_data_lake_sources,select,,,,,
GetSubscriber,/v1/subscribers/{subscriberId},GET,Retrieves the subscription information for the ...,,subscribers,get_subscriber,select,,,,,
ListDataLakeExceptions,/v1/datalake/exceptions,POST,Lists the Amazon Security Lake exceptions that ...,data_lake_exceptions,data_lake_exceptions,list_data_lake_exceptions,select,,,,,
ListDataLakes,/v1/datalakes,GET,Retrieves the Amazon Security Lake configuratio...,data_lakes,data_lakes,list_data_lakes,select,,,,,
ListLogSources,/v1/datalake/logsources/list,POST,Retrieves the log sources.,log_sources,log_sources,list_log_sources,select,,,,,
ListSubscribers,/v1/subscribers,GET,Lists all subscribers for the specific Amazon S...,subscribers,subscribers,list_subscribers,select,,nextToken,query,nextToken,body
ListTagsForResource,/v1/tags/{resourceArn},GET,Retrieves the tags (keys and values) that are a...,,tags_for_resources,list_tags_for_resource,select,,,,,
RegisterDataLakeDelegatedAdministrator,/v1/datalake/delegate,POST,Designates the Amazon Security Lake delegated a...,data_lake_delegated_administrator,data_lake_delegated_administrators,register_data_lake_delegated_administrator,insert,,,,,
TagResource,/v1/tags/{resourceArn},POST,Adds or updates one or more tags that are assoc...,,resources,tag_resource,exec,,,,,
UntagResource,/v1/tags/{resourceArn},DELETE,Removes one or more tags (keys and values) from...,,resources,untag_resource,delete,,,,,
UpdateDataLake,/v1/datalake,PUT,You can use `UpdateDataLake` to specify where t...,,data_lakes,update_data_lake,update,,,,,
UpdateDataLakeExceptionSubscription,/v1/datalake/exceptions/subscription,PUT,Updates the specified notification subscription...,data_lake_exception_subscription,data_lake_exception_subscriptions,update_data_lake_exception_subscription,update,,,,,
UpdateSubscriber,/v1/subscribers/{subscriberId},PUT,Updates an existing subscription for the given ...,,subscribers,update_subscriber,update,,,,,
UpdateSubscriberNotification,/v1/subscribers/{subscriberId}/notification,PUT,Updates an existing notification method for the...,subscriber_notification,subscriber_notifications,update_subscriber_notification,update,,,,,
