operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateProfile,/profileassociation,POST,Associates a Route 53 Profiles profile with a V...,profile_associations,associate_profile,exec,,,,,
AssociateResourceToProfile,/profileresourceassociation,POST,Associates a DNS reource configuration to a Rou...,profile_resource_associations,associate_resource_to_profile,exec,,,,,
CreateProfile,/profile,POST,Creates an empty Route 53 Profile.,profiles,create_profile,insert,,,,,
DeleteProfile,/profile/{ProfileId},DELETE,Deletes the specified Route 53 Profile. Before ...,profiles,delete_profile,delete,,,,,
DisassociateProfile,/profileassociation/Profileid/{ProfileId}/resourceid/{ResourceId},DELETE,Dissociates a specified Route 53 Profile from t...,profile_associations,disassociate_profile,delete,,,,,
DisassociateResourceFromProfile,/profileresourceassociation/profileid/{ProfileId}/resourcearn/{ResourceArn},DELETE,"Dissoaciated a specified resource, from the Rou...",profile_resource_associations,disassociate_resource_from_profile,delete,,,,,
GetProfile,/profile/{ProfileId},GET,Returns information about a specified Route 53 ...,profile,get_profile,select,,,,,
GetProfileAssociation,/profileassociation/{ProfileAssociationId},GET,Retrieves a Route 53 Profile association for a ...,profile_association,get_profile_association,select,,,,,
GetProfileResourceAssociation,/profileresourceassociation/{ProfileResourceAssociationId},GET,Returns information about a specified Route 53 ...,profile_resource_association,get_profile_resource_association,select,,,,,
ListProfileAssociations,/profileassociations,GET,Lists all the VPCs that the specified Route 53 ...,profile_associations,list_profile_associations,select,$.ProfileAssociations,,,,
ListProfileResourceAssociations,/profileresourceassociations/profileid/{ProfileId},GET,Lists all the resource associations for the spe...,profile_resource_associations,list_profile_resource_associations,select,$.ProfileResourceAssociations,,,,
ListProfiles,/profiles,GET,Lists all the Route 53 Profiles associated with...,profiles,list_profiles,select,$.ProfileSummaries,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Lists the tags that you associated with the spe...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,Adds one or more tags to a specified resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes one or more tags from a specified resou...,tags,untag_resource,delete,,,,,
UpdateProfileResourceAssociation,/profileresourceassociation/{ProfileResourceAssociationId},PATCH,Updates the specified Route 53 Profile resourse...,profile_resource_associations,update_profile_resource_association,update,,,,,
