operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateNotificationRule,/createNotificationRule,POST,Creates a notification rule for a resource. The...,notification_rules,create_notification_rule,insert,,,,,
DeleteNotificationRule,/deleteNotificationRule,POST,Deletes a notification rule for a resource.,notification_rules,delete_notification_rule,delete,,,,,
DeleteTarget,/deleteTarget,POST,Deletes a specified target for notifications.,targets,delete_target,delete,,,,,
DescribeNotificationRule,/describeNotificationRule,POST,Returns information about a specified notificat...,notification_rules,describe_notification_rule,select,,,,,
ListEventTypes,/listEventTypes,POST,Returns information about the event types avail...,event_types,list_event_types,select,$.EventTypes,,,,
ListNotificationRules,/listNotificationRules,POST,Returns a list of the notification rules for an...,notification_rules,list_notification_rules,select,$.NotificationRules,,,,
ListTagsForResource,/listTagsForResource,POST,Returns a list of the tags associated with a no...,tags,list_tags_for_resource,select,,,,,
ListTargets,/listTargets,POST,Returns a list of the notification rule targets...,targets,list_targets,select,$.Targets,,,,
Subscribe,/subscribe,POST,Creates an association between a notification r...,subscriptions,subscribe,exec,,,,,
TagResource,/tagResource,POST,Associates a set of provided tags with a notifi...,tags,tag_resource,exec,,,,,
Unsubscribe,/unsubscribe,POST,Removes an association between a notification r...,subscriptions,unsubscribe,exec,,,,,
UntagResource,/untagResource/{Arn},POST,Removes the association between one or more pro...,tags,untag_resource,exec,,,,,
UpdateNotificationRule,/updateNotificationRule,POST,Updates a notification rule for a resource. You...,notification_rules,update_notification_rule,update,,,,,
