operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetSecretValue,/#X-Amz-Target=secretsmanager.BatchGetSecretValue,POST,Retrieves the contents of the encrypted fields ...,secret_values,batch_get_secret_value,exec,,,,,
CancelRotateSecret,/#X-Amz-Target=secretsmanager.CancelRotateSecret,POST,"Turns off automatic rotation, and if a rotation...",secrets,cancel_rotate_secret,exec,,,,,
CreateSecret,/#X-Amz-Target=secretsmanager.CreateSecret,POST,Creates a new secret. A _secret_ can be a passw...,secrets,create_secret,insert,,,,,
DeleteResourcePolicy,/#X-Amz-Target=secretsmanager.DeleteResourcePolicy,POST,Deletes the resource-based permission policy at...,resource_policies,delete_resource_policy,delete,,,,,
DeleteSecret,/#X-Amz-Target=secretsmanager.DeleteSecret,POST,Deletes a secret and all of its versions. You c...,secrets,delete_secret,delete,,,,,
DescribeSecret,/#X-Amz-Target=secretsmanager.DescribeSecret,POST,Retrieves the details of a secret. It does not ...,secrets,describe_secret,select,,,,,
GetRandomPassword,/#X-Amz-Target=secretsmanager.GetRandomPassword,POST,Generates a random password. We recommend that ...,random_passwords,get_random_password,select,,,,,
GetResourcePolicy,/#X-Amz-Target=secretsmanager.GetResourcePolicy,POST,Retrieves the JSON text of the resource-based p...,resource_policies,get_resource_policy,select,,,,,
GetSecretValue,/#X-Amz-Target=secretsmanager.GetSecretValue,POST,Retrieves the contents of the encrypted fields ...,secret_values,get_secret_value,select,,,,,
ListSecretVersionIds,/#X-Amz-Target=secretsmanager.ListSecretVersionIds,POST,Lists the versions of a secret. Secrets Manager...,secret_version_ids,list_secret_version_ids,select,,,,,
ListSecrets,/#X-Amz-Target=secretsmanager.ListSecrets,POST,Lists the secrets that are stored by Secrets Ma...,secret_summaries,list_secrets,select,,,,,
PutResourcePolicy,/#X-Amz-Target=secretsmanager.PutResourcePolicy,POST,Attaches a resource-based permission policy to ...,resource_policies,put_resource_policy,replace,,,,,
PutSecretValue,/#X-Amz-Target=secretsmanager.PutSecretValue,POST,Creates a new version of your secret by creatin...,secret_values,put_secret_value,replace,,,,,
RemoveRegionsFromReplication,/#X-Amz-Target=secretsmanager.RemoveRegionsFromReplication,POST,For a secret that is replicated to other Region...,secrets,remove_regions_from_replication,exec,,,,,
ReplicateSecretToRegions,/#X-Amz-Target=secretsmanager.ReplicateSecretToRegions,POST,Replicates the secret to a new Regions. See [Mu...,secrets,replicate_secret_to_regions,exec,,,,,
RestoreSecret,/#X-Amz-Target=secretsmanager.RestoreSecret,POST,Cancels the scheduled deletion of a secret by r...,secrets,restore_secret,exec,,,,,
RotateSecret,/#X-Amz-Target=secretsmanager.RotateSecret,POST,Configures and starts the asynchronous process ...,secrets,rotate_secret,exec,,,,,
StopReplicationToReplica,/#X-Amz-Target=secretsmanager.StopReplicationToReplica,POST,Removes the link between the replica secret and...,secrets,stop_replication_to_replica,exec,,,,,
TagResource,/#X-Amz-Target=secretsmanager.TagResource,POST,Attaches tags to a secret. Tags consist of a ke...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=secretsmanager.UntagResource,POST,Removes specific tags from a secret. This opera...,tags,untag_resource,exec,,,,,
UpdateSecret,/#X-Amz-Target=secretsmanager.UpdateSecret,POST,"Modifies the details of a secret, including met...",secrets,update_secret,update,,,,,
UpdateSecretVersionStage,/#X-Amz-Target=secretsmanager.UpdateSecretVersionStage,POST,Modifies the staging labels attached to a versi...,secret_version_stages,update_secret_version_stage,update,,,,,
ValidateResourcePolicy,/#X-Amz-Target=secretsmanager.ValidateResourcePolicy,POST,Validates that a resource policy does not grant...,resource_policies,validate_resource_policy,exec,,,,,
