operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateBotVersion,/bots/{name}/versions,POST,Creates a new version of the bot based on the `...,,bot_versions,create_bot_version,insert,,,,,
CreateIntentVersion,/intents/{name}/versions,POST,Creates a new version of an intent based on the...,,intent_versions,create_intent_version,insert,,,,,
CreateSlotTypeVersion,/slottypes/{name}/versions,POST,Creates a new version of a slot type based on t...,,slot_type_versions,create_slot_type_version,insert,,,,,
DeleteBot,/bots/{name},DELETE,"Deletes all versions of the bot, including the ...",,bots,delete_bot,delete,,,,,
DeleteBotAlias,/bots/{botName}/aliases/{name},DELETE,Deletes an alias for the specified bot. You can...,,bot_alias,delete_bot_alias,delete,,,,,
DeleteBotChannelAssociation,/bots/{botName}/aliases/{botAlias}/channels/{name},DELETE,Deletes the association between an Amazon Lex b...,,bot_channel_associations,delete_bot_channel_association,delete,,,,,
DeleteBotVersion,/bots/{name}/versions/{version},DELETE,Deletes a specific version of a bot. To delete ...,,bot_versions,delete_bot_version,delete,,,,,
DeleteIntent,/intents/{name},DELETE,"Deletes all versions of the intent, including t...",,intents,delete_intent,delete,,,,,
DeleteIntentVersion,/intents/{name}/versions/{version},DELETE,Deletes a specific version of an intent. To del...,,intent_versions,delete_intent_version,delete,,,,,
DeleteSlotType,/slottypes/{name},DELETE,"Deletes all versions of the slot type, includin...",,slot_types,delete_slot_type,delete,,,,,
DeleteSlotTypeVersion,/slottypes/{name}/version/{version},DELETE,Deletes a specific version of a slot type. To d...,,slot_type_versions,delete_slot_type_version,delete,,,,,
DeleteUtterances,/bots/{botName}/utterances/{userId},DELETE,Deletes stored utterances. Amazon Lex stores th...,,utterances,delete_utterances,delete,,,,,
GetBot,/bots/{name}/versions/{versionOrAlias},GET,Returns metadata information for a specific bot...,,bots,get_bot,select,,,,,
GetBotAlias,/bots/{botName}/aliases/{name},GET,Returns information about an Amazon Lex bot ali...,,bot_alias,get_bot_alias,select,,,,,
GetBotAliases,/bots/{botName}/aliases,GET,Returns a list of aliases for a specified Amazo...,,bot_aliases,get_bot_aliases,select,,,,,
GetBotChannelAssociation,/bots/{botName}/aliases/{botAlias}/channels/{name},GET,Returns information about the association betwe...,,bot_channel_associations,get_bot_channel_association,select,,,,,
GetBotChannelAssociations,/bots/{botName}/aliases/{botAlias}/channels,GET,Returns a list of all of the channels associate...,,bot_channel_associations,get_bot_channel_associations,select,,,,,
GetBotVersions,/bots/{name}/versions,GET,Gets information about all of the versions of a...,,bot_versions,get_bot_versions,select,,,,,
GetBots,/bots,GET,Returns bot information as follows: * If you pr...,,bots,get_bots,select,,,,,
GetBuiltinIntent,/builtins/intents/{signature},GET,Returns information about a built-in intent. Th...,,builtin_intents,get_builtin_intent,select,,,,,
GetBuiltinIntents,/builtins/intents,GET,Gets a list of built-in intents that meet the s...,,builtin_intents,get_builtin_intents,select,,,,,
GetBuiltinSlotTypes,/builtins/slottypes,GET,Gets a list of built-in slot types that meet th...,,builtin_slot_types,get_builtin_slot_types,select,,,,,
GetExport,/exports,GET,Exports the contents of a Amazon Lex resource i...,,exports,get_export,select,,,,,
GetImport,/imports/{importId},GET,Gets information about an import job started wi...,,imports,get_import,select,,,,,
GetIntent,/intents/{name}/versions/{version},GET,Returns information about an intent. In additio...,,intents,get_intent,select,,,,,
GetIntentVersions,/intents/{name}/versions,GET,Gets information about all of the versions of a...,,intent_versions,get_intent_versions,select,,,,,
GetIntents,/intents,GET,Returns intent information as follows: * If you...,,intents,get_intents,select,,,,,
GetMigration,/migrations/{migrationId},GET,Provides details about an ongoing or complete m...,,migrations,get_migration,select,,,,,
GetMigrations,/migrations,GET,Gets a list of migrations between Amazon Lex V1...,,migrations,get_migrations,select,,,,,
GetSlotType,/slottypes/{name}/versions/{version},GET,Returns information about a specific version of...,,slot_types,get_slot_type,select,,,,,
GetSlotTypeVersions,/slottypes/{name}/versions,GET,Gets information about all versions of a slot t...,,slot_type_versions,get_slot_type_versions,select,,,,,
GetSlotTypes,/slottypes,GET,Returns slot type information as follows: * If ...,,slot_types,get_slot_types,select,,,,,
GetUtterancesView,/bots/{botName}/utterances?view=aggregation,GET,Use the `GetUtterancesView` operation to get in...,,utterances_views,get_utterances_view,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,Gets a list of tags associated with the specifi...,,tags_for_resources,list_tags_for_resource,select,,,,,
PutBot,/bots/{name}/versions/$LATEST,PUT,Creates an Amazon Lex conversational bot or rep...,,bots,put_bot,insert,,,,,
PutBotAlias,/bots/{botName}/aliases/{name},PUT,Creates an alias for the specified version of t...,,bot_alias,put_bot_alias,insert,,,,,
PutIntent,/intents/{name}/versions/$LATEST,PUT,Creates an intent or replaces an existing inten...,,intents,put_intent,insert,,,,,
PutSlotType,/slottypes/{name}/versions/$LATEST,PUT,Creates a custom slot type or replaces an exist...,,slot_types,put_slot_type,insert,,,,,
StartImport,/imports,POST,Starts a job to import a resource to Amazon Lex.,,imports,start_import,exec,,,,,
StartMigration,/migrations,POST,Starts migrating a bot from Amazon Lex V1 to Am...,,migrations,start_migration,exec,,,,,
TagResource,/tags/{resourceArn},POST,Adds the specified tags to the specified resour...,,resources,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,"Removes tags from a bot, bot alias or bot channel.",,resources,untag_resource,delete,,,,,
