operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetPolicy,/#X-Amz-Target=VerifiedPermissions.BatchGetPolicy,POST,Retrieves information about a group (batch) of ...,policies,batch_get_policy,exec,,,,,
BatchIsAuthorized,/#X-Amz-Target=VerifiedPermissions.BatchIsAuthorized,POST,Makes a series of decisions about multiple auth...,authorization,batch_is_authorized,exec,,,,,
BatchIsAuthorizedWithToken,/#X-Amz-Target=VerifiedPermissions.BatchIsAuthorizedWithToken,POST,Makes a series of decisions about multiple auth...,authorization,batch_is_authorized_with_token,exec,,,,,
CreateIdentitySource,/#X-Amz-Target=VerifiedPermissions.CreateIdentitySource,POST,Adds an identity source to a policy store–an Am...,identity_sources,create_identity_source,insert,,,,,
CreatePolicy,/#X-Amz-Target=VerifiedPermissions.CreatePolicy,POST,Creates a Cedar policy and saves it in the spec...,policies,create_policy,insert,,,,,
CreatePolicyStore,/#X-Amz-Target=VerifiedPermissions.CreatePolicyStore,POST,Creates a policy store. A policy store is a con...,policy_stores,create_policy_store,insert,,,,,
CreatePolicyTemplate,/#X-Amz-Target=VerifiedPermissions.CreatePolicyTemplate,POST,Creates a policy template. A template can use p...,policy_templates,create_policy_template,insert,,,,,
DeleteIdentitySource,/#X-Amz-Target=VerifiedPermissions.DeleteIdentitySource,POST,Deletes an identity source that references an i...,identity_sources,delete_identity_source,delete,,,,,
DeletePolicy,/#X-Amz-Target=VerifiedPermissions.DeletePolicy,POST,Deletes the specified policy from the policy st...,policies,delete_policy,delete,,,,,
DeletePolicyStore,/#X-Amz-Target=VerifiedPermissions.DeletePolicyStore,POST,Deletes the specified policy store. This operat...,policy_stores,delete_policy_store,delete,,,,,
DeletePolicyTemplate,/#X-Amz-Target=VerifiedPermissions.DeletePolicyTemplate,POST,Deletes the specified policy template from the ...,policy_templates,delete_policy_template,delete,,,,,
GetIdentitySource,/#X-Amz-Target=VerifiedPermissions.GetIdentitySource,POST,Retrieves the details about the specified ident...,identity_sources,get_identity_source,select,,,,,
GetPolicy,/#X-Amz-Target=VerifiedPermissions.GetPolicy,POST,Retrieves information about the specified policy.,policies,get_policy,select,,,,,
GetPolicyStore,/#X-Amz-Target=VerifiedPermissions.GetPolicyStore,POST,Retrieves details about a policy store.,policy_stores,get_policy_store,select,,,,,
GetPolicyTemplate,/#X-Amz-Target=VerifiedPermissions.GetPolicyTemplate,POST,Retrieve the details for the specified policy t...,policy_templates,get_policy_template,select,,,,,
GetSchema,/#X-Amz-Target=VerifiedPermissions.GetSchema,POST,Retrieve the details for the specified schema i...,schemas,get_schema,select,,,,,
IsAuthorized,/#X-Amz-Target=VerifiedPermissions.IsAuthorized,POST,Makes an authorization decision about a service...,authorization,is_authorized,exec,,,,,
IsAuthorizedWithToken,/#X-Amz-Target=VerifiedPermissions.IsAuthorizedWithToken,POST,Makes an authorization decision about a service...,authorization,is_authorized_with_token,exec,,,,,
ListIdentitySources,/#X-Amz-Target=VerifiedPermissions.ListIdentitySources,POST,Returns a paginated list of all of the identity...,identity_sources,list_identity_sources,select,$.identitySources,,,,
ListPolicies,/#X-Amz-Target=VerifiedPermissions.ListPolicies,POST,Returns a paginated list of all policies stored...,policies,list_policies,select,$.policies,,,,
ListPolicyStores,/#X-Amz-Target=VerifiedPermissions.ListPolicyStores,POST,Returns a paginated list of all policy stores i...,policy_stores,list_policy_stores,select,$.policyStores,,,,
ListPolicyTemplates,/#X-Amz-Target=VerifiedPermissions.ListPolicyTemplates,POST,Returns a paginated list of all policy template...,policy_templates,list_policy_templates,select,$.policyTemplates,,,,
ListTagsForResource,/#X-Amz-Target=VerifiedPermissions.ListTagsForResource,POST,Returns the tags associated with the specified ...,tags,list_tags_for_resource,select,,,,,
PutSchema,/#X-Amz-Target=VerifiedPermissions.PutSchema,POST,Creates or updates the policy schema in the spe...,schemas,put_schema,replace,,,,,
TagResource,/#X-Amz-Target=VerifiedPermissions.TagResource,POST,Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=VerifiedPermissions.UntagResource,POST,Removes one or more tags from the specified Ama...,tags,untag_resource,exec,,,,,
UpdateIdentitySource,/#X-Amz-Target=VerifiedPermissions.UpdateIdentitySource,POST,Updates the specified identity source to use a ...,identity_sources,update_identity_source,update,,,,,
UpdatePolicy,/#X-Amz-Target=VerifiedPermissions.UpdatePolicy,POST,Modifies a Cedar static policy in the specified...,policies,update_policy,update,,,,,
UpdatePolicyStore,/#X-Amz-Target=VerifiedPermissions.UpdatePolicyStore,POST,Modifies the validation setting for a policy st...,policy_stores,update_policy_store,update,,,,,
UpdatePolicyTemplate,/#X-Amz-Target=VerifiedPermissions.UpdatePolicyTemplate,POST,Updates the specified policy template. You can ...,policy_templates,update_policy_template,update,,,,,
