operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateConfigurationManager,/configurationManager,POST,Creates a Quick Setup configuration manager res...,configuration_managers,create_configuration_manager,insert,,,,,
DeleteConfigurationManager,/configurationManager/{ManagerArn},DELETE,Deletes a configuration manager.,configuration_managers,delete_configuration_manager,delete,,,,,
GetConfiguration,/getConfiguration/{ConfigurationId},GET,Returns details about the specified configuration.,configurations,get_configuration,select,,,,,
GetConfigurationManager,/configurationManager/{ManagerArn},GET,Returns a configuration manager.,configuration_managers,get_configuration_manager,select,,,,,
GetServiceSettings,/serviceSettings,GET,Returns settings configured for Quick Setup in ...,service_settings,get_service_settings,select,,,,,
ListConfigurationManagers,/listConfigurationManagers,POST,Returns Quick Setup configuration managers.,configuration_managers,list_configuration_managers,select,$.ConfigurationManagersList,,,,
ListConfigurations,/listConfigurations,POST,Returns configurations deployed by Quick Setup ...,configurations,list_configurations,select,$.ConfigurationsList,,,,
ListQuickSetupTypes,/listQuickSetupTypes,GET,Returns the available Quick Setup types.,quick_setup_types,list_quick_setup_types,select,,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Returns tags assigned to the resource.,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},PUT,Assigns key-value pairs of metadata to Amazon W...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes tags from the specified resource.,tags,untag_resource,delete,,,,,
UpdateConfigurationDefinition,/configurationDefinition/{ManagerArn}/{Id},PUT,Updates a Quick Setup configuration definition.,configuration_definitions,update_configuration_definition,update,,,,,
UpdateConfigurationManager,/configurationManager/{ManagerArn},PUT,Updates a Quick Setup configuration manager.,configuration_managers,update_configuration_manager,update,,,,,
UpdateServiceSettings,/serviceSettings,PUT,Updates settings configured for Quick Setup.,service_settings,update_service_settings,update,,,,,
