operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateExport,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.CreateExport,POST,Creates a data export and specifies the data qu...,exports,exports,create_export,insert,,,,,
DeleteExport,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.DeleteExport,POST,Deletes an existing data export.,exports,exports,delete_export,delete,,,,,
GetExecution,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.GetExecution,POST,Exports data based on the source data update.,executions,executions,get_execution,select,,,,,
GetExport,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.GetExport,POST,Views the definition of an existing data export.,exports,exports,get_export,select,,,,,
GetTable,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.GetTable,POST,Returns the metadata for the specified table an...,tables,tables,get_table,select,,,,,
ListExecutions,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.ListExecutions,POST,Lists the historical executions for the export.,executions,executions,list_executions,select,$.Executions,,,,
ListExports,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.ListExports,POST,Lists all data export definitions.,exports,exports,list_exports,select,$.Exports,,,,
ListTables,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.ListTables,POST,Lists all available tables in data exports.,tables,tables,list_tables,select,$.Tables,,,,
ListTagsForResource,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.ListTagsForResource,POST,List tags associated with an existing data export.,tags,tags_for_resources,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.TagResource,POST,Adds tags for an existing data export definition.,resources,resources,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.UntagResource,POST,Deletes tags associated with an existing data e...,resources,resources,untag_resource,exec,,,,,
UpdateExport,/#X-Amz-Target=AWSBillingAndCostManagementDataExports.UpdateExport,POST,Updates an existing data export by overwriting ...,exports,exports,update_export,update,,,,,
