operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateCliToken,/clitoken/{Name},POST,Name,,,,Creates a CLI token for the Airflow CLI. To lea...,cli_tokens,create_cli_token,insert,,,,,
CreateEnvironment,/environments/{Name},PUT,Name,,,"DagS3Path,ExecutionRoleArn,Name,NetworkConfiguration,SourceBucketArn",Creates an Amazon Managed Workflows for Apache ...,environments,create_environment,insert,,,,,
CreateWebLoginToken,/webtoken/{Name},POST,Name,,,,Creates a web login token for the Airflow Web U...,web_login_tokens,create_web_login_token,insert,,,,,
DeleteEnvironment,/environments/{Name},DELETE,Name,,,,Deletes an Amazon Managed Workflows for Apache ...,environments,delete_environment,delete,,,,,
GetEnvironment,/environments/{Name},GET,Name,,,,Describes an Amazon Managed Workflows for Apach...,environments,get_environment,select,,,,,
InvokeRestApi,/restapi/{Name},POST,Name,,,"Method,Name,Path",Invokes the Apache Airflow REST API on the webs...,rest_api,invoke_rest_api,exec,,,,,
ListEnvironments,/environments,GET,,,,,Lists the Amazon Managed Workflows for Apache A...,environments,list_environments,select,$.Environments,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Lists the key-value tag pairs associated to the...,tags,list_tags_for_resource,select,,,,,
PublishMetrics,/metrics/environments/{EnvironmentName},POST,EnvironmentName,,,"EnvironmentName,MetricData",**Internal only**. Publishes environment health...,metrics,publish_metrics,exec,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,"DagS3Path,ExecutionRoleArn,Name,NetworkConfiguration,SourceBucketArn",Associates key-value tag pairs to your Amazon M...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Removes key-value tag pairs associated to your ...,tags,untag_resource,exec,,,,,
UpdateEnvironment,/environments/{Name},PATCH,Name,,,Name,Updates an Amazon Managed Workflows for Apache ...,environments,update_environment,update,,,,,
