operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetApplicationComponentDetails,/get-applicationcomponent-details/{applicationComponentId},GET,Retrieves details about an application component.,,get_application_component_details,select,,,,,
GetApplicationComponentStrategies,/get-applicationcomponent-strategies/{applicationComponentId},GET,Retrieves a list of all the recommended strateg...,,get_application_component_strategies,select,,,,,
GetAssessment,/get-assessment/{id},GET,Retrieves the status of an on-going assessment.,,get_assessment,select,,,,,
GetImportFileTask,/get-import-file-task/{id},GET,Retrieves the details about a specific import t...,,get_import_file_task,select,,,,,
GetLatestAssessmentId,/get-latest-assessment-id,GET,Retrieve the latest ID of a specific assessment...,,get_latest_assessment_id,select,,,,,
GetPortfolioPreferences,/get-portfolio-preferences,GET,Retrieves your migration and modernization pref...,,get_portfolio_preferences,select,,,,,
GetPortfolioSummary,/get-portfolio-summary,GET,Retrieves overall summary including the number ...,,get_portfolio_summary,select,,,,,
GetRecommendationReportDetails,/get-recommendation-report-details/{id},GET,Retrieves detailed information about the specif...,,get_recommendation_report_details,select,,,,,
GetServerDetails,/get-server-details/{serverId},GET,Retrieves detailed information about a specifie...,,get_server_details,select,$.associatedApplications,,,,
GetServerStrategies,/get-server-strategies/{serverId},GET,Retrieves recommended strategies and tools for ...,,get_server_strategies,select,,,,,
ListAnalyzableServers,/list-analyzable-servers,POST,Retrieves a list of all the servers fetched fro...,,list_analyzable_servers,select,$.analyzableServers,nextToken,body,nextToken,body
ListApplicationComponents,/list-applicationcomponents,POST,Retrieves a list of all the application compone...,,list_application_components,select,$.applicationComponentInfos,nextToken,body,nextToken,body
ListCollectors,/list-collectors,GET,Retrieves a list of all the installed collectors.,,list_collectors,select,$.Collectors,,,,
ListImportFileTask,/list-import-file-task,GET,Retrieves a list of all the imports performed.,,list_import_file_task,select,$.taskInfos,,,,
ListServers,/list-servers,POST,Returns a list of all the servers.,,list_servers,select,$.serverInfos,nextToken,body,nextToken,body
PutPortfolioPreferences,/put-portfolio-preferences,POST,Saves the specified migration and modernization...,,put_portfolio_preferences,replace,,,,,
StartAssessment,/start-assessment,POST,Starts the assessment of an on-premises environ...,,start_assessment,exec,,,,,
StartImportFileTask,/start-import-file-task,POST,Starts a file import.,,start_import_file_task,exec,,,,,
StartRecommendationReportGeneration,/start-recommendation-report-generation,POST,Starts generating a recommendation report.,,start_recommendation_report_generation,exec,,,,,
StopAssessment,/stop-assessment,POST,Stops the assessment of an on-premises environm...,,stop_assessment,exec,,,,,
UpdateApplicationComponentConfig,/update-applicationcomponent-config/,POST,Updates the configuration of an application com...,,update_application_component_config,update,,,,,
UpdateServerConfig,/update-server-config/,POST,Updates the configuration of the specified server.,,update_server_config,update,,,,,
