operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetApplicationComponentDetails,/get-applicationcomponent-details/{applicationComponentId},GET,Retrieves details about an application component.,,application_component_details,get_application_component_details,select,,,,,
GetApplicationComponentStrategies,/get-applicationcomponent-strategies/{applicationComponentId},GET,Retrieves a list of all the recommended strateg...,application_component_strategies,application_component_strategies,get_application_component_strategies,select,,,,,
GetAssessment,/get-assessment/{id},GET,Retrieves the status of an on-going assessment.,,assessments,get_assessment,select,,,,,
GetImportFileTask,/get-import-file-task/{id},GET,Retrieves the details about a specific import t...,import_file_task,import_file_tasks,get_import_file_task,select,,,,,
GetLatestAssessmentId,/get-latest-assessment-id,GET,Retrieve the latest ID of a specific assessment...,latest_assessment_id,latest_assessment_ids,get_latest_assessment_id,select,,,,,
GetPortfolioPreferences,/get-portfolio-preferences,GET,Retrieves your migration and modernization pref...,portfolio_preferences,portfolio_preferences,get_portfolio_preferences,select,,,,,
GetPortfolioSummary,/get-portfolio-summary,GET,Retrieves overall summary including the number ...,,portfolio_summaries,get_portfolio_summary,select,,,,,
GetRecommendationReportDetails,/get-recommendation-report-details/{id},GET,Retrieves detailed information about the specif...,recommendation_report_details,recommendation_report_details,get_recommendation_report_details,select,,,,,
GetServerDetails,/get-server-details/{serverId},GET,Retrieves detailed information about a specifie...,,server_details,get_server_details,select,,,,,
GetServerStrategies,/get-server-strategies/{serverId},GET,Retrieves recommended strategies and tools for ...,server_strategies,server_strategies,get_server_strategies,select,,,,,
ListAnalyzableServers,/list-analyzable-servers,POST,Retrieves a list of all the servers fetched fro...,analyzable_servers,analyzable_servers,list_analyzable_servers,select,,nextToken,body,nextToken,body
ListApplicationComponents,/list-applicationcomponents,POST,Retrieves a list of all the application compone...,application_components,application_components,list_application_components,select,,nextToken,body,nextToken,body
ListCollectors,/list-collectors,GET,Retrieves a list of all the installed collectors.,collectors,collectors,list_collectors,select,,,,,
ListImportFileTask,/list-import-file-task,GET,Retrieves a list of all the imports performed.,import_file_task,import_file_tasks,list_import_file_task,select,,,,,
ListServers,/list-servers,POST,Returns a list of all the servers.,servers,servers,list_servers,select,,nextToken,body,nextToken,body
PutPortfolioPreferences,/put-portfolio-preferences,POST,Saves the specified migration and modernization...,,portfolio_preferences,put_portfolio_preferences,insert,,,,,
StartAssessment,/start-assessment,POST,Starts the assessment of an on-premises environ...,assessment,assessments,start_assessment,exec,,,,,
StartImportFileTask,/start-import-file-task,POST,Starts a file import.,import_file_task,import_file_tasks,start_import_file_task,exec,,,,,
StartRecommendationReportGeneration,/start-recommendation-report-generation,POST,Starts generating a recommendation report.,recommendation_report_generation,recommendation_report_generations,start_recommendation_report_generation,exec,,,,,
StopAssessment,/stop-assessment,POST,Stops the assessment of an on-premises environm...,,assessments,stop_assessment,exec,,,,,
UpdateApplicationComponentConfig,/update-applicationcomponent-config/,POST,Updates the configuration of an application com...,,application_component_configs,update_application_component_config,update,,,,,
UpdateServerConfig,/update-server-config/,POST,Updates the configuration of the specified server.,server_config,server_configs,update_server_config,update,,,,,
