operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
PutAccountSettingDefault,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.PutAccountSettingDefault,POST,,,,"name,value",Modifies an account setting for all users on an...,account_settings,put_account_setting_default,exec,,,,,
DeleteAccountSetting,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteAccountSetting,POST,,,,name,Disables an account setting for a specified use...,account_settings,delete_account_setting,delete,,,,,
ListAccountSettings,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListAccountSettings,POST,,,,,Lists the account settings for a specified prin...,account_settings,list_account_settings,select,$.settings,,,,
PutAccountSetting,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.PutAccountSetting,POST,,,,"name,value",Modifies an account setting. Account settings a...,account_settings,put_account_setting,replace,,,,,
SubmitAttachmentStateChanges,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.SubmitAttachmentStateChanges,POST,,,,attachments,This action is only used by the Amazon ECS agen...,clusters,submit_attachment_state_changes,exec,,,,,
DeleteAttributes,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteAttributes,POST,,,,attributes,Deletes one or more custom attributes from an A...,attributes,delete_attributes,delete,,,,,
ListAttributes,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListAttributes,POST,,,,targetType,Lists the attributes for Amazon ECS resources w...,attributes,list_attributes,select,$.attributes,,,,
PutAttributes,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.PutAttributes,POST,,,,attributes,Create or update an attribute on an Amazon ECS ...,attributes,put_attributes,replace,,,,,
CreateCapacityProvider,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.CreateCapacityProvider,POST,,,,name,Creates a capacity provider. Capacity providers...,capacity_providers,create_capacity_provider,insert,,,,,
DeleteCapacityProvider,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteCapacityProvider,POST,,,,capacityProvider,Deletes the specified capacity provider. The `F...,capacity_providers,delete_capacity_provider,delete,,,,,
DescribeCapacityProviders,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeCapacityProviders,POST,,,,,Describes one or more of your capacity providers.,capacity_providers,describe_capacity_providers,select,,,,,
UpdateCapacityProvider,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateCapacityProvider,POST,,,,name,Modifies the parameters for a capacity provider...,capacity_providers,update_capacity_provider,update,,,,,
ListClusters,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListClusters,POST,,,,,Returns a list of existing clusters.,cluster_arns,list_clusters,select,$.clusterArns,,,,
PutClusterCapacityProviders,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.PutClusterCapacityProviders,POST,,,,"capacityProviders,cluster,defaultCapacityProviderStrategy",Modifies the available capacity providers and t...,cluster_capacity_providers,put_cluster_capacity_providers,replace,,,,,
UpdateClusterSettings,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateClusterSettings,POST,,,,"cluster,settings",Modifies the settings to use for a cluster.,cluster_settings,update_cluster_settings,update,,,,,
CreateCluster,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.CreateCluster,POST,,,,,"Creates a new Amazon ECS cluster. By default, y...",clusters,create_cluster,insert,,,,,
DeleteCluster,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteCluster,POST,,,,cluster,Deletes the specified cluster. The cluster tran...,clusters,delete_cluster,delete,,,,,
DescribeClusters,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeClusters,POST,,,,,Describes one or more of your clusters. For CLI...,clusters,describe_clusters,select,,,,,
UpdateCluster,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateCluster,POST,,,,cluster,Updates the cluster.,clusters,update_cluster,update,,,,,
ExecuteCommand,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ExecuteCommand,POST,,,,"command,interactive,task",Runs a command remotely on a container within a...,commands,execute_command,exec,,,,,
UpdateContainerInstancesState,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateContainerInstancesState,POST,,,,"containerInstances,status",Modifies the status of an Amazon ECS container ...,container_instances,update_container_instances_state,update,,,,,
ListContainerInstances,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListContainerInstances,POST,,,,,Returns a list of container instances in a spec...,container_instance_arns,list_container_instances,select,$.containerInstanceArns,,,,
DeregisterContainerInstance,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeregisterContainerInstance,POST,,,,containerInstance,Deregisters an Amazon ECS container instance fr...,container_instances,deregister_container_instance,exec,,,,,
DescribeContainerInstances,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeContainerInstances,POST,,,,containerInstances,Describes one or more container instances. Retu...,container_instances,describe_container_instances,select,,,,,
RegisterContainerInstance,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.RegisterContainerInstance,POST,,,,,This action is only used by the Amazon ECS agen...,container_instances,register_container_instance,exec,,,,,
UpdateContainerAgent,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateContainerAgent,POST,,,,containerInstance,Updates the Amazon ECS container agent on a spe...,container_instances,update_container_agent,update,,,,,
SubmitContainerStateChange,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.SubmitContainerStateChange,POST,,,,,This action is only used by the Amazon ECS agen...,container_state_changes,submit_container_state_change,exec,,,,,
CreateExpressGatewayService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.CreateExpressGatewayService,POST,,,,"executionRoleArn,infrastructureRoleArn,primaryContainer",Creates an Express service that simplifies depl...,express_gateway_services,create_express_gateway_service,insert,,,,,
DeleteExpressGatewayService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteExpressGatewayService,POST,,,,serviceArn,Deletes an Express service and removes all asso...,express_gateway_services,delete_express_gateway_service,delete,,,,,
DescribeExpressGatewayService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeExpressGatewayService,POST,,,,serviceArn,Retrieves detailed information about an Express...,express_gateway_services,describe_express_gateway_service,select,,,,,
UpdateExpressGatewayService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateExpressGatewayService,POST,,,,serviceArn,Updates an existing Express service configurati...,express_gateway_services,update_express_gateway_service,update,,,,,
DiscoverPollEndpoint,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DiscoverPollEndpoint,POST,,,,containerInstance,This action is only used by the Amazon ECS agen...,container_instances,discover_poll_endpoint,exec,,,,,
UpdateServicePrimaryTaskSet,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateServicePrimaryTaskSet,POST,,,,"cluster,primaryTaskSet,service",Modifies which task set in a service is the pri...,services,update_service_primary_task_set,exec,,,,,
ListServices,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListServices,POST,,,,,Returns a list of services. You can filter the ...,service_arns,list_services,select,$.serviceArns,,,,
ListServiceDeployments,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListServiceDeployments,POST,,,,service,This operation lists all the service deployment...,service_deployments,list_service_deployments,select,,,,,
DescribeServiceDeployments,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeServiceDeployments,POST,,,,serviceDeploymentArns,Describes one or more of your service deploymen...,service_deployments,describe_service_deployments,select,,,,,
StopServiceDeployment,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.StopServiceDeployment,POST,,,,serviceDeploymentArn,Stops an ongoing service deployment. The follow...,service_deployments,stop_service_deployment,exec,,,,,
DescribeServiceRevisions,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeServiceRevisions,POST,,,,serviceRevisionArns,Describes one or more service revisions. A serv...,service_revisions,describe_service_revisions,select,,,,,
CreateService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.CreateService,POST,,,,serviceName,Runs and maintains your desired number of tasks...,services,create_service,insert,,,,,
DeleteService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DeleteService,POST,,,,service,Deletes a specified service within a cluster. Y...,services,delete_service,delete,,,,,
DescribeServices,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.DescribeServices,POST,,,,services,Describes the specified services running in you...,services,describe_services,select,,,,,
UpdateService,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UpdateService,POST,,,,service,Modifies the parameters of a service. On March ...,services,update_service,update,,,,,
ListServicesByNamespace,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListServicesByNamespace,POST,,,,namespace,This operation lists all of the services that a...,services,list_services_by_namespace,select,$.serviceArns,,,,
ListTagsForResource,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListTagsForResource,POST,,,,resourceArn,List the tags for an Amazon ECS resource.,tags,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.TagResource,POST,,,,"resourceArn,tags",Associates the specified tags to a resource wit...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.UntagResource,POST,,,,"resourceArn,tagKeys",Deletes specified tags from a resource.,tags,untag_resource,exec,,,,,
ListTasks,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListTasks,POST,,,,,Returns a list of tasks. You can filter the res...,task_arns,list_tasks,select,$.taskArns,,,,
ListTaskDefinitions,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListTaskDefinitions,POST,,,,,Returns a list of task definitions that are reg...,task_definition_arns,list_task_definitions,select,$.taskDefinitionArns,,,,
ListTaskDefinitionFamilies,/#X-Amz-Target=AmazonEC2ContainerServiceV20141113.ListTaskDefinitionFamilies,POST,,,,,Returns a list of task definition families that...,task_definition_families,list_task_definition_families,select,$.families,,,,
