operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddPermission,/#X-Amz-Target=AmazonSQS.AddPermission,POST,Adds a permission to a queue for a specific [pr...,queue_permissions,add_permission,exec,,,,,
CancelMessageMoveTask,/#X-Amz-Target=AmazonSQS.CancelMessageMoveTask,POST,Cancels a specified message movement task. A me...,message_move_tasks,cancel_message_move_task,exec,,,,,
ChangeMessageVisibility,/#X-Amz-Target=AmazonSQS.ChangeMessageVisibility,POST,Changes the visibility timeout of a specified m...,messages,change_message_visibility,exec,,,,,
ChangeMessageVisibilityBatch,/#X-Amz-Target=AmazonSQS.ChangeMessageVisibilityBatch,POST,Changes the visibility timeout of multiple mess...,messages,change_message_visibility_batch,exec,,,,,
CreateQueue,/#X-Amz-Target=AmazonSQS.CreateQueue,POST,Creates a new standard or FIFO queue. You can p...,queues,create_queue,insert,,,,,
DeleteMessage,/#X-Amz-Target=AmazonSQS.DeleteMessage,POST,Deletes the specified message from the specifie...,messages,delete_message,delete,,,,,
DeleteMessageBatch,/#X-Amz-Target=AmazonSQS.DeleteMessageBatch,POST,Deletes up to ten messages from the specified q...,messages,delete_message_batch,delete,,,,,
DeleteQueue,/#X-Amz-Target=AmazonSQS.DeleteQueue,POST,"Deletes the queue specified by the `QueueUrl`, ...",queues,delete_queue,delete,,,,,
GetQueueAttributes,/#X-Amz-Target=AmazonSQS.GetQueueAttributes,POST,Gets attributes for the specified queue. To det...,queue_attributes,get_queue_attributes,select,,,,,
GetQueueUrl,/#X-Amz-Target=AmazonSQS.GetQueueUrl,POST,The `GetQueueUrl` API returns the URL of an exi...,queue_url,get_queue_url,select,,,,,
ListDeadLetterSourceQueues,/#X-Amz-Target=AmazonSQS.ListDeadLetterSourceQueues,POST,Returns a list of your queues that have the `Re...,dead_letter_source_queues,list_dead_letter_source_queues,select,$.queueUrls,,,,
ListMessageMoveTasks,/#X-Amz-Target=AmazonSQS.ListMessageMoveTasks,POST,Gets the most recent message movement tasks (up...,message_move_tasks,list_message_move_tasks,select,,,,,
ListQueueTags,/#X-Amz-Target=AmazonSQS.ListQueueTags,POST,List all cost allocation tags added to the spec...,queue_tags,list_queue_tags,select,,,,,
ListQueues,/#X-Amz-Target=AmazonSQS.ListQueues,POST,Returns a list of your queues in the current re...,queues,list_queues,select,$.QueueUrls,,,,
PurgeQueue,/#X-Amz-Target=AmazonSQS.PurgeQueue,POST,Deletes available messages in a queue (includin...,queues,purge_queue,exec,,,,,
ReceiveMessage,/#X-Amz-Target=AmazonSQS.ReceiveMessage,POST,"Retrieves one or more messages (up to 10), from...",messages,receive_message,exec,,,,,
RemovePermission,/#X-Amz-Target=AmazonSQS.RemovePermission,POST,Revokes any permissions in the queue policy tha...,queue_permissions,remove_permission,exec,,,,,
SendMessage,/#X-Amz-Target=AmazonSQS.SendMessage,POST,Delivers a message to the specified queue. A me...,messages,send_message,exec,,,,,
SendMessageBatch,/#X-Amz-Target=AmazonSQS.SendMessageBatch,POST,You can use `SendMessageBatch` to send up to 10...,messages,send_message_batch,exec,,,,,
SetQueueAttributes,/#X-Amz-Target=AmazonSQS.SetQueueAttributes,POST,"Sets the value of one or more queue attributes,...",queue_attributes,set_queue_attributes,exec,,,,,
StartMessageMoveTask,/#X-Amz-Target=AmazonSQS.StartMessageMoveTask,POST,Starts an asynchronous task to move messages fr...,message_move_tasks,start_message_move_task,exec,,,,,
TagQueue,/#X-Amz-Target=AmazonSQS.TagQueue,POST,Add cost allocation tags to the specified Amazo...,queue_tags,tag_queue,exec,,,,,
UntagQueue,/#X-Amz-Target=AmazonSQS.UntagQueue,POST,Remove cost allocation tags from the specified ...,queue_tags,untag_queue,exec,,,,,
