operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateApplication,/applications,POST,"Creates an application, optionally including an...",applications,create_application,insert,,,,,
CreateApplicationVersion,/applications/{ApplicationId}/versions/{SemanticVersion},PUT,Creates an application version.,application_versions,create_application_version,insert,,,,,
CreateCloudFormationChangeSet,/applications/{ApplicationId}/changesets,POST,Creates an AWS CloudFormation change set for th...,cloud_formation_change_sets,create_cloud_formation_change_set,insert,,,,,
CreateCloudFormationTemplate,/applications/{ApplicationId}/templates,POST,Creates an AWS CloudFormation template.,cloud_formation_templates,create_cloud_formation_template,insert,,,,,
DeleteApplication,/applications/{ApplicationId},DELETE,Deletes the specified application.,applications,delete_application,delete,,,,,
GetApplication,/applications/{ApplicationId},GET,Gets the specified application.,applications,get_application,select,,,,,
GetApplicationPolicy,/applications/{ApplicationId}/policy,GET,Retrieves the policy for the application.,application_policies,get_application_policy,select,,,,,
GetCloudFormationTemplate,/applications/{ApplicationId}/templates/{TemplateId},GET,Gets the specified AWS CloudFormation template.,cloud_formation_templates,get_cloud_formation_template,select,,,,,
ListApplicationDependencies,/applications/{ApplicationId}/dependencies,GET,Retrieves the list of applications nested in th...,application_dependencies,list_application_dependencies,select,,,,,
ListApplicationVersions,/applications/{ApplicationId}/versions,GET,Lists versions for the specified application.,application_versions,list_application_versions,select,,,,,
ListApplications,/applications,GET,Lists applications owned by the requester.,applications,list_applications,select,,,,,
PutApplicationPolicy,/applications/{ApplicationId}/policy,PUT,Sets the permission policy for an application. ...,application_policies,put_application_policy,replace,,,,,
UnshareApplication,/applications/{ApplicationId}/unshare,POST,Unshares an application from an AWS Organizatio...,applications,unshare_application,exec,,,,,
UpdateApplication,/applications/{ApplicationId},PATCH,Updates the specified application.,applications,update_application,update,,,,,
