operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchAcknowledgeAlarm,/alarms/acknowledge,POST,,,,acknowledgeActionRequests,Acknowledges one or more alarms. The alarms cha...,alarms,batch_acknowledge_alarm,exec,,,,,
BatchDeleteDetector,/detectors/delete,POST,,,,detectors,Deletes one or more detectors that were created...,detectors,batch_delete_detector,exec,,,,,
BatchDisableAlarm,/alarms/disable,POST,,,,disableActionRequests,Disables one or more alarms. The alarms change ...,alarms,batch_disable_alarm,exec,,,,,
BatchEnableAlarm,/alarms/enable,POST,,,,enableActionRequests,Enables one or more alarms. The alarms change t...,alarms,batch_enable_alarm,exec,,,,,
BatchPutMessage,/inputs/messages,POST,,,,messages,Sends a set of messages to the IoT Events syste...,messages,batch_put_message,exec,,,,,
BatchResetAlarm,/alarms/reset,POST,,,,resetActionRequests,Resets one or more alarms. The alarms return to...,alarms,batch_reset_alarm,exec,,,,,
BatchSnoozeAlarm,/alarms/snooze,POST,,,,snoozeActionRequests,Changes one or more alarms to the snooze mode. ...,alarms,batch_snooze_alarm,exec,,,,,
BatchUpdateDetector,/detectors,POST,,,,detectors,"Updates the state, variable values, and timer s...",detectors,batch_update_detector,exec,,,,,
DescribeAlarm,/alarms/{alarmModelName}/keyValues,GET,alarmModelName,,,,Retrieves information about an alarm.,alarm,describe_alarm,select,,,,,
DescribeDetector,/detectors/{detectorModelName}/keyValues,GET,detectorModelName,,,,Returns information about the specified detecto...,detector,describe_detector,select,,,,,
ListAlarms,/alarms/{alarmModelName},GET,alarmModelName,,,,Lists one or more alarms. The operation returns...,alarms,list_alarms,select,,,,,
ListDetectors,/detectors/{detectorModelName},GET,detectorModelName,,,,Lists detectors (the instances of a detector mo...,detectors,list_detectors,select,,,,,
