operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateApplicationInstance,/application-instances,POST,Creates an application instance and deploys it ...,,application_instances,create_application_instance,insert,,,,,
CreateJobForDevices,/jobs,POST,Creates a job to run on a device. A job can upd...,,job_for_devices,create_job_for_devices,insert,,,,,
CreateNodeFromTemplateJob,/packages/template-job,POST,Creates a camera stream node.,,node_from_template_jobs,create_node_from_template_job,insert,,,,,
CreatePackage,/packages,POST,Creates a package and storage location in an Am...,,packages,create_package,insert,,,,,
CreatePackageImportJob,/packages/import-jobs,POST,Imports a node package.,,package_import_jobs,create_package_import_job,insert,,,,,
DeleteDevice,/devices/{DeviceId},DELETE,Deletes a device.,,devices,delete_device,delete,,,,,
DeletePackage,/packages/{PackageId},DELETE,"Deletes a package. To delete a package, you nee...",,packages,delete_package,delete,,,,,
DeregisterPackageVersion,/packages/{PackageId}/versions/{PackageVersion}/patch/{PatchVersion},DELETE,Deregisters a package version.,,package_versions,deregister_package_version,delete,,,,,
DescribeApplicationInstance,/application-instances/{ApplicationInstanceId},GET,Returns information about an application instan...,,application_instances,describe_application_instance,select,,,,,
DescribeApplicationInstanceDetails,/application-instances/{ApplicationInstanceId}/details,GET,Returns information about an application instan...,,application_instance_details,describe_application_instance_details,select,,,,,
DescribeDevice,/devices/{DeviceId},GET,Returns information about a device.,,devices,describe_device,select,,,,,
DescribeDeviceJob,/jobs/{JobId},GET,Returns information about a device job.,,device_jobs,describe_device_job,select,,,,,
DescribeNode,/nodes/{NodeId},GET,Returns information about a node.,,nodes,describe_node,select,,,,,
DescribeNodeFromTemplateJob,/packages/template-job/{JobId},GET,Returns information about a job to create a cam...,,node_from_template_jobs,describe_node_from_template_job,select,,,,,
DescribePackage,/packages/metadata/{PackageId},GET,Returns information about a package.,,packages,describe_package,select,,,,,
DescribePackageImportJob,/packages/import-jobs/{JobId},GET,Returns information about a package import job.,,package_import_jobs,describe_package_import_job,select,,,,,
DescribePackageVersion,/packages/metadata/{PackageId}/versions/{PackageVersion},GET,Returns information about a package version.,,package_versions,describe_package_version,select,,,,,
ListApplicationInstanceDependencies,/application-instances/{ApplicationInstanceId}/package-dependencies,GET,Returns a list of application instance dependen...,,application_instance_dependencies,list_application_instance_dependencies,select,,,,,
ListApplicationInstanceNodeInstances,/application-instances/{ApplicationInstanceId}/node-instances,GET,Returns a list of application node instances.,,application_instance_node_instances,list_application_instance_node_instances,select,,,,,
ListApplicationInstances,/application-instances,GET,Returns a list of application instances.,,application_instances,list_application_instances,select,,,,,
ListDevices,/devices,GET,Returns a list of devices.,,devices,list_devices,select,,,,,
ListDevicesJobs,/jobs,GET,Returns a list of jobs.,,devices_jobs,list_devices_jobs,select,,,,,
ListNodeFromTemplateJobs,/packages/template-job,GET,Returns a list of camera stream node jobs.,,node_from_template_jobs,list_node_from_template_jobs,select,,,,,
ListNodes,/nodes,GET,Returns a list of nodes.,,nodes,list_nodes,select,,,,,
ListPackageImportJobs,/packages/import-jobs,GET,Returns a list of package import jobs.,,package_import_jobs,list_package_import_jobs,select,,,,,
ListPackages,/packages,GET,Returns a list of packages.,,packages,list_packages,select,,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Returns a list of tags for a resource.,,tags_for_resources,list_tags_for_resource,select,,,,,
ProvisionDevice,/devices,POST,Creates a device and returns a configuration ar...,,devices,provision_device,exec,,,,,
RegisterPackageVersion,/packages/{PackageId}/versions/{PackageVersion}/patch/{PatchVersion},PUT,Registers a package version.,,package_versions,register_package_version,insert,,,,,
RemoveApplicationInstance,/application-instances/{ApplicationInstanceId},DELETE,Removes an application instance.,,application_instances,remove_application_instance,delete,,,,,
SignalApplicationInstanceNodeInstances,/application-instances/{ApplicationInstanceId}/node-signals,PUT,Signal camera nodes to stop or resume.,,application_instance_node_instances,signal_application_instance_node_instances,update,,,,,
TagResource,/tags/{ResourceArn},POST,Tags a resource.,,resources,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes tags from a resource.,,resources,untag_resource,delete,,,,,
UpdateDeviceMetadata,/devices/{DeviceId},PUT,Updates a device's metadata.,,device_metadata,update_device_metadata,update,,,,,
