operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeAccountLimits,/#Action=DescribeAccountLimits,GET,Describes the current Elastic Load Balancing re...,account_limits,describe_account_limits,select,,,,,
DisableAvailabilityZonesForLoadBalancer,/#Action=DisableAvailabilityZonesForLoadBalancer,GET,Removes the specified Availability Zones from t...,load_balancers,disable_availability_zones_for_load_balancer,exec,,,,,
EnableAvailabilityZonesForLoadBalancer,/#Action=EnableAvailabilityZonesForLoadBalancer,GET,Adds the specified Availability Zones to the se...,load_balancers,enable_availability_zones_for_load_balancer,exec,,,,,
ConfigureHealthCheck,/#Action=ConfigureHealthCheck,GET,Specifies the health check settings to use when...,instance_health,configure_health_check,exec,,,,,
DescribeInstanceHealth,/#Action=DescribeInstanceHealth,GET,Describes the state of the specified instances ...,instance_health,describe_instance_health,select,,,,,
DeregisterInstancesFromLoadBalancer,/#Action=DeregisterInstancesFromLoadBalancer,GET,Deregisters the specified instances from the sp...,load_balancers,deregister_instances_from_load_balancer,exec,,,,,
RegisterInstancesWithLoadBalancer,/#Action=RegisterInstancesWithLoadBalancer,GET,Adds the specified instances to the specified l...,load_balancers,register_instances_with_load_balancer,exec,,,,,
CreateLoadBalancerListeners,/#Action=CreateLoadBalancerListeners,GET,Creates one or more listeners for the specified...,listeners,create_load_balancer_listeners,insert,,,,,
DeleteLoadBalancerListeners,/#Action=DeleteLoadBalancerListeners,GET,Deletes the specified listeners from the specif...,listeners,delete_load_balancer_listeners,delete,,,,,
SetLoadBalancerListenerSSLCertificate,/#Action=SetLoadBalancerListenerSSLCertificate,GET,Sets the certificate that terminates the specif...,listeners,set_load_balancer_listener_ssl_certificate,exec,,,,,
DescribeLoadBalancerAttributes,/#Action=DescribeLoadBalancerAttributes,GET,Describes the attributes for the specified load...,load_balancer_attributes,describe_load_balancer_attributes,select,,,,,
ModifyLoadBalancerAttributes,/#Action=ModifyLoadBalancerAttributes,GET,Modifies the attributes of the specified load b...,load_balancer_attributes,modify_load_balancer_attributes,exec,,,,,
CreateLoadBalancerPolicy,/#Action=CreateLoadBalancerPolicy,GET,Creates a policy with the specified attributes ...,load_balancer_policies,create_load_balancer_policy,insert,,,,,
DeleteLoadBalancerPolicy,/#Action=DeleteLoadBalancerPolicy,GET,Deletes the specified policy from the specified...,load_balancer_policies,delete_load_balancer_policy,delete,,,,,
DescribeLoadBalancerPolicies,/#Action=DescribeLoadBalancerPolicies,GET,Describes the specified policies. If you specif...,load_balancer_policies,describe_load_balancer_policies,select,,,,,
SetLoadBalancerPoliciesForBackendServer,/#Action=SetLoadBalancerPoliciesForBackendServer,GET,Replaces the set of policies associated with th...,load_balancer_policies,set_load_balancer_policies_for_backend_server,exec,,,,,
SetLoadBalancerPoliciesOfListener,/#Action=SetLoadBalancerPoliciesOfListener,GET,Replaces the current set of policies for the sp...,load_balancer_policies,set_load_balancer_policies_of_listener,exec,,,,,
DescribeLoadBalancerPolicyTypes,/#Action=DescribeLoadBalancerPolicyTypes,GET,Describes the specified load balancer policy ty...,load_balancer_policy_types,describe_load_balancer_policy_types,select,,,,,
CreateLoadBalancer,/#Action=CreateLoadBalancer,GET,Creates a Classic Load Balancer. You can add li...,load_balancers,create_load_balancer,insert,,,,,
DeleteLoadBalancer,/#Action=DeleteLoadBalancer,GET,Deletes the specified load balancer. If you are...,load_balancers,delete_load_balancer,delete,,,,,
DescribeLoadBalancers,/#Action=DescribeLoadBalancers,GET,Describes the specified the load balancers. If ...,load_balancers,describe_load_balancers,select,$.LoadBalancerDescriptions,,,,
ApplySecurityGroupsToLoadBalancer,/#Action=ApplySecurityGroupsToLoadBalancer,GET,Associates one or more security groups with you...,load_balancers,apply_security_groups_to_load_balancer,exec,,,,,
CreateLBCookieStickinessPolicy,/#Action=CreateLBCookieStickinessPolicy,GET,Generates a stickiness policy with sticky sessi...,load_balancers,create_lb_cookie_stickiness_policy,exec,,,,,
CreateAppCookieStickinessPolicy,/#Action=CreateAppCookieStickinessPolicy,GET,Generates a stickiness policy with sticky sessi...,load_balancers,create_app_cookie_stickiness_policy,exec,,,,,
AttachLoadBalancerToSubnets,/#Action=AttachLoadBalancerToSubnets,GET,Adds one or more subnets to the set of configur...,load_balancers,attach_load_balancer_to_subnets,exec,,,,,
DetachLoadBalancerFromSubnets,/#Action=DetachLoadBalancerFromSubnets,GET,Removes the specified subnets from the set of c...,load_balancers,detach_load_balancer_from_subnets,exec,,,,,
AddTags,/#Action=AddTags,GET,Adds the specified tags to the specified load b...,tags,add_tags,exec,,,,,
DescribeTags,/#Action=DescribeTags,GET,Describes the tags associated with the specifie...,tags,describe_tags,select,,,,,
RemoveTags,/#Action=RemoveTags,GET,Removes one or more tags from the specified loa...,tags,remove_tags,exec,,,,,
